subject_id,subject_name,professor,user_major,wishlist_actions,timetable_actions,unique_users
10630,확률및통계,김현정,컴퓨터공학부,3,5,5
10632,자료구조,김인수,컴퓨터공학부,2,3,5
10662,CAPSTONE DESIGN,이장호,컴퓨터공학부,1,4,5
10688,기계진동,윤종윤,바이오-로봇시스템공학과,1,4,5
10712,에너지화공기초실험,권오중,에너지화학공학과,2,3,5
10740,화학안전공학,이홍주,안전공학과,0,5,5
10741,건설재료학,오태근,안전공학과,0,5,5
10750,대학화학,이미경,신소재공학과,2,4,5
10760,분말야금학,김정곤,신소재공학과,3,4,5
10761,재료물리화학(2),장태후,신소재공학과,1,5,5
10763,상변태,김정곤,신소재공학과,0,5,5
10793,기업과안전,김철홍,산업경영공학과,1,5,5
10801,전파공학,김영현,전자공학과,2,4,5
10803,전파공학,윤영노,전자공학과,1,4,5
10825,스마트시스템입문,조정완,전자공학부,2,3,5
10829,디지털실험,김영현,반도체융합전공,3,4,5
10829,디지털실험,김영현,전자공학과,2,4,5
10830,디지털실험,이경순,전자공학과,2,5,5
10835,전자기학,서정현,반도체융합전공,2,5,5
10835,전자기학,서정현,전자공학과,4,1,5
10837,프로그래밍언어,최욱,전자공학부,3,3,5
10839,반도체소자,정은교,전자공학부,2,5,5
10840,반도체소자,정은교,전자공학부,1,4,5
10841,반도체소자,이영훈,전자공학과,3,2,5
10842,전자회로,유종근,전자공학부,4,1,5
10844,전자회로,유종근,전자공학부,2,3,5
10854,인공지능,조환호,전자공학부,3,2,5
10856,캡스턴디자인1,양운근,전자공학과,4,1,5
10890,전력전자공학,윤한신,전기공학과,2,5,5
10925,물리실험(1),김병훈,기계공학과,3,3,5
10932,공학수학 1,신창훈,기계공학과,2,3,5
10951,응용기계수학1,이강주,기계공학과,1,4,5
10983,캡스톤디자인2,이태선,기계공학과,1,5,5
10993,지속가능소비론,이영애,소비자학과,1,4,5
10996,매장관리,박양희,소비자학과,2,5,5
10997,상품개발론,미배정,소비자학과,2,5,5
11012,경제학원리(1),옥우석,무역학부,3,5,5
11034,디지털비즈니스애널리틱스,김경원,무역학부,3,4,5
11039,관세론,김필준,무역학부,1,4,5
11047,시사경제1,임조순,경제학과,2,3,5
11048,정치경제학,이갑영,경제학과,2,4,5
11052,경제학원리(1),서세욱,경제학과,1,5,5
11060,미시경제학,황성현,경제학과,1,5,5
11062,경제자료의이해와활용,김종주,경제학과,0,5,5
11081,강대국정치론,강지연,정치외교학과,1,5,5
11085,핵정치론,강지연,정치외교학과,0,5,5
11101,예산분석론,박소영,행정학과,2,3,5
11105,자기설계세미나 I,고유정,창의인재개발학과,2,5,5
11107,상담심리학,유현경,창의인재개발학과,3,5,5
11112,인적자원개발및관리,김은수,창의인재개발학과,0,5,5
11113,인적자원자료분석의실제,유현주,창의인재개발학과,0,5,5
11140,디지털미디어리터러시,유우현,미디어커뮤니케이션학과,1,4,5
11156,커뮤니케이션세미나,이수범,미디어커뮤니케이션학과,1,4,5
11163,사회복지학개론,송다영,사회복지학과,2,4,5
11171,정신건강사회복지론,박종은,사회복지학과,1,4,5
11172,사회복지행정론,전용호,사회복지학과,0,5,5
11175,프로그램개발과평가,정선영,사회복지학과,1,5,5
11177,여성복지론,최보라,사회복지학과,3,3,5
11195,수환경보존학,김연정,해양학과,1,4,5
11199,해양학을위한수리계산과학개론,이경재,해양학과,2,4,5
11200,양식과환경,미배정,해양학과,2,3,5
11202,조류생리생태학및실험,공정애,해양학과,1,5,5
11222,테일러링,이주연,패션산업학과,2,5,5
11239,일반생물학실험(1),김길원,화학과,1,5,5
11262,일반물리학(1),박승룡,물리학과,2,5,5
11287,열및통계물리학(1),김정우,물리학과,0,5,5
11302,선형대수학(1),함남우,수학과,3,3,5
11325,집중중국어실습(1),변다은,중어중국학과,0,5,5
11331,중국소설속사랑과정의,윤지양,중어중국학과,2,5,5
