subject_id,subject_name,professor,user_grade,wishlist_actions,timetable_actions,unique_users
10786,생산통제,김병수,3,4,7,9
10788,최적화모형및응용,이종헌,3,4,5,9
10796,회로이론및실습,송준영,2,2,8,9
10804,통신이론,윤석현,3,3,8,9
10822,복소함수및벡터,구경헌,2,6,4,9
10851,신호및시스템,변상원,4,4,6,9
10854,인공지능,조환호,4,5,7,9
10887,전기기기(1),허진,3,1,9,9
10891,신호및시스템,이명훈,3,0,9,9
10892,에너지발생 및 운용,김용하,4,3,7,9
10898,신재생에너지공학,김학만,4,3,7,9
10918,물리(1),김말진,1,3,7,9
10950,수치해석,한민섭,3,3,8,9
10998,신용관리론,곽민주,3,6,7,9
11004,기업물류및SCM,안영효,4,2,8,9
11008,경영학원론,이루리,1,4,7,9
11009,경영학원론,유담,2,2,7,9
11027,국제통상론,고보민,4,1,8,9
11152,1인미디어콘텐츠기획,유우현,3,3,7,9
11217,비즈니스데이터분석기초,권기용,2,1,8,9
11218,텍스타일염색과표현,조윤경,2,0,9,9
11247,분석화학실험,권태현,2,1,9,9
11256,화학논문연구 I,임태은,3,0,9,9
11281,수리물리학(1),엇후 도르츠,2,1,9,9
11285,전자기학(2),박영미,3,0,9,9
11304,해석학(1),문병수,2,1,9,9
11308,미분기하학(1),유성민,3,2,8,9
11320,기초중국어1,최윤경,1,3,9,9
11414,한국의언어,채숙희,2,1,9,9
11472,영어학입문,김정태,2,3,8,9
11592,Academic English,김연정,1,2,8,9
11872,대학영어회화1,유원,2,4,7,9
11920,대학영어회화1,"캘럼 맥코
트",2,2,8,9
11939,대학영어회화1,"캘럼 맥코
트",2,2,9,9
12051,대학영어회화1,데이비드,2,1,8,9
12083,대학영어회화1,유원,2,0,9,9
12143,임상여성학,OCU,2,1,8,9
9047,(HUSS서강대)인물로본포용사회의역사,미배정,1,6,3,8
9123,교육심리,안동근,2,1,8,8
9184,문학과함께행복의길찾기,전미정,2,4,5,8
9200,심리학의이해,박준성,4,1,7,8
9202,심리학의이해,서신화,1,3,5,8
9205,열린사회와다문화,정선주,1,6,3,8
9205,열린사회와다문화,정선주,2,3,5,8
9227,창의적사고와문제해결,양태연,2,7,2,8
9230,초급평영,김민철,2,4,6,8
9231,취창업진로세미나,취업경력개발원,2,3,6,8
9232,취창업진로세미나,취업경력개발원,1,8,1,8
9232,취창업진로세미나,취업경력개발원,2,3,6,8
9241,현대사회와빅데이터,양태연,2,4,4,8
9298,녹색성장과환경,박찬진,2,5,4,8
9325,미생물학입문,교육혁신본부,1,4,7,8
9325,미생물학입문,교육혁신본부,4,1,7,8
9358,신비로운해양생물이야기,이재성,2,5,5,8
9363,엔지니어정약용탐구,교육혁신본부,2,1,7,8
9374,영화로배우는독성학개론,예정용,4,2,7,8
9384,음악으로읽는세계문화사,김희진,2,5,5,8
9390,인공지능시대의스피치교육,교육혁신본부,2,2,7,8
9411,토익리딩집중,이은재,1,4,6,8
9411,토익리딩집중,이은재,2,6,4,8
9443,현대사회와인성,신승원,2,2,7,8
9691,행정법각론,김수진,3,3,7,8
9693,국제기구법,장석영,3,2,6,8
9696,상속법,진도왕,3,4,4,8
9750,미시데이터분석,김지영,2,0,8,8
9787,세포생물학,이승호,3,2,7,8
9788,뇌공학,양성구,3,2,7,8
9791,종합설계및세미나1,송영준,4,1,8,8
9806,생명공학캡스톤디자인,장성호,4,2,8,8
9809,대학수학(1),김기태,1,3,8,8
9821,일반화학실험(1),방지원,2,0,8,8
9833,유기화학,봉지홍,2,1,8,8
9866,대학수학(1),김기태,1,1,8,8
9904,건축과사회,이금진,4,2,8,8
9915,물리(2),김완선,2,2,7,8
9947,건축개론,김태완,1,4,5,8
9999,일반물리(1),김영찬,1,2,7,8
10001,지구시스템과학,강정구,1,2,7,8
10049,정부예산과경제,윤광진,3,0,8,8
10280,기초기능해부학,전경규,2,1,7,8
10284,웨이트트레이닝기초,정국현,2,0,8,8
10290,농구,미배정,2,0,8,8
10300,트레이닝방법론,변경호,3,4,6,8
10307,스포츠코칭,박상혁,3,2,7,8
10382,그래픽디자인,김시연,2,4,6,8
10386,레이아웃디자인,전혜연,2,4,6,8
10459,회계원리(1),유영태,1,2,7,8
10461,세법총론,전흥재,1,0,8,8
10476,데이터과학을위한기초통계학,강희재,1,2,8,8
10477,데이터과학을위한계량경영학,박준성,2,1,8,8
10478,데이터분석실습1,전용호,2,1,8,8
10479,데이터애널리틱스,전용호,3,4,7,8
10486,경영학원론,박현준,2,2,6,8
10489,경영학원론,박현준,1,5,4,8
10513,상법,미배정,4,2,7,8
10524,기업재무론,전용호,3,1,8,8
10532,인터넷마케팅,김성광,3,2,8,8
10535,투자론,김선호,3,3,7,8
10564,대학수학(1),전현채,1,3,8,8
10580,데이터베이스,유제진,2,3,5,8
10582,회로이론,김도엽,2,4,4,8
10595,빅데이터프로그래밍,안승환,3,4,6,8
10618,대학수학(1),한상현,1,3,7,8
10621,이산수학,김지범,1,1,8,8
10625,프로그래밍입문,채진석,1,3,7,8
10650,운영체제,박문주,3,6,6,8
10658,컴파일러설계,홍윤식,3,1,7,8
10678,정역학,박상인,1,3,8,8
10680,전기회로실험,조영욱,2,1,7,8
10716,기기분석 2,박영돈,3,2,8,8
10717,화공수치해석개론,김종우,3,1,7,8
10734,안전관리론,송창근,2,1,8,8
10739,토질역학,오태근,2,2,8,8
10772,생성형AI활용,이준혁,2,3,6,8
10798,회로이론,박창주,4,5,5,8
10802,전파공학,윤영노,3,3,6,8
10803,전파공학,윤영노,3,2,6,8
10805,이동통신공학,윤석현,4,2,6,8
10817,선형대수학,변윤식,1,6,4,8
10837,프로그래밍언어,최욱,2,6,3,8
10909,대학수학(1),이강주,1,5,5,8
10914,대학화학,오세영,1,3,7,8
10927,기계기초프로그래밍,김승권,1,4,6,8
10946,전기전자공학개론,김태우,2,5,4,8
10949,수치해석,김백진,3,3,5,8
10953,응용기계수학1,신성수,3,2,8,8
11025,물류개론,안영효,3,4,6,8
11030,국제거래규범,김규진,4,0,8,8
11033,국제무역보험론,김규진,2,0,8,8
11036,서비스마케팅론,이루리,4,2,6,8
11037,통계실습,유병국,3,2,7,8
11059,미시경제학,오태희,3,1,8,8
11063,수리경제학,이장연,2,2,8,8
11066,공정경쟁과산업분석,이기환,3,0,8,8
11133,정보검색,장수현,2,4,7,8
11134,기록관리,조재인,3,1,7,8
11151,영화의이해,이동후,3,2,7,8
11151,영화의이해,이동후,4,4,7,8
11176,사회복지법제와 실천,이은아,4,2,8,8
11211,글로벌패션산업이해,이현정,1,3,8,8
11212,섬유소재이해,조윤경,1,3,8,8
11316,자기설계세미나 I,조봉래,1,3,7,8
11338,일본어입문(1),신은진,1,5,5,8
11453,독일어문법,이원경,2,1,8,8
11469,영어회화(3),알라나 커밍스,2,3,8,8
11476,영어와심리,윤소연,2,4,6,8
11511,Academic English,이은재,1,3,7,8
11523,Academic English,김연정,1,2,8,8
11719,AI시대의글쓰기이론과실제,박상원,1,2,8,8
11730,AI시대의글쓰기이론과실제,윤숙,1,2,6,8
11751,AI사고와데이터리터러시,이선아,1,3,7,8
11859,대학영어회화1,"캘럼 맥코
트",2,0,8,8
11940,대학영어회화1,"캘럼 맥코
트",2,1,7,8
12009,대학영어회화1,유원,2,0,8,8
12115,대학영어회화1,브렌트 맥,2,3,7,8
12147,운동처방실제,OCU,4,1,8,8
9048,(HUSS서강대)포용사회주제세미나,미배정,1,6,3,7
9065,(HUSS)디지털포용과스타트업창업실무,박영은,1,6,1,7
9108,커리어로드맵,취업경력개발원,3,3,7,7
9113,직업기초능력1,이원철,4,1,7,7
9129,교육과정,미배정,3,2,7,7
9134,학교현장실습I:교육현장컨설팅,한은정,3,1,7,7
9153,FITNESS TRAINING,전경규,2,5,4,7
9153,FITNESS TRAINING,전경규,3,4,5,7
9175,기초스페인어,문성주,1,3,6,7
9185,문학욕망의윤리를말하다,최혜림,1,2,6,7
9202,심리학의이해,서신화,3,4,5,7
