subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,wishlist_count,wishlist_user_count,required_count,avg_wishlist_priority,timetable_count,timetable_user_count,combined_user_count,total_saved_actions,first_wishlist_at,last_wishlist_at,first_timetable_at,last_timetable_at
11503,,,True,Academic English,김정옥,생명과학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-02 07:28:44.040060,2026-02-02 07:28:44.040060,,
11506,,,True,Academic English,남정현,생명과학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 11:04:18.132192,2026-02-04 11:04:18.132192
11508,,,True,Academic English,김상조,해양학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 09:01:14.957484,2026-02-04 09:01:14.957484
11516,,,True,Academic English,김연정,에너지화학공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 11:16:00.787567,2026-02-03 11:16:00.787567
11522,,,True,Academic English,차현지,바이오-로봇시스템공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 07:53:32.675531,2026-02-03 07:53:32.675531
11526,,,True,Academic English,박효진,바이오-로봇시스템공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-11 08:59:54.159603,2026-02-11 08:59:54.159603
11529,,,True,Academic English,이은재,안전공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 09:15:57.730315,2026-02-03 09:15:57.730315
11532,,,True,Academic English,안수진,안전공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 02:42:33.009658,2026-02-03 02:42:33.009658
11534,,,True,Academic English,차현지,신소재공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 04:18:20.936430,2026-02-04 04:18:20.936430
11536,,,True,Academic English,남정현,전기공학과,1.0,기교,OFFLINE,2,False,1,1,1,3.0,0,0,1,1,2026-02-22 12:07:36.773456,2026-02-22 12:07:36.773456,,
11545,,,True,Academic English,김연정,산업경영공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 11:01:27.237761,2026-02-04 11:01:27.237761
11548,,,True,Academic English,박효진,산업경영공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 11:30:28.150488,2026-02-03 11:30:28.150488
11553,,,True,Academic English,김상조,임베디드시스템공학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 08:55:24.470561,2026-02-03 08:55:24.470561
11557,,,True,Academic English,김정옥,컴퓨터공학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-02 15:55:50.935724,2026-02-02 15:55:50.935724,,
11558,,,True,Academic English,김정옥,정보통신공학과,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-04 14:04:31.288089,2026-02-04 14:04:31.288089,,
11560,,,True,Academic English,안수진,컴퓨터공학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-02 15:55:54.048326,2026-02-02 15:55:54.048326,,
11561,,,True,Academic English,안수진,정보통신공학과,1.0,기교,OFFLINE,2,False,1,1,1,3.0,0,0,1,1,2026-02-04 14:04:31.761358,2026-02-04 14:04:31.761358,,
11577,,,True,Academic English,김정옥,패션산업학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-25 07:45:16.417546,2026-02-25 07:45:16.417546
11581,,,True,Academic English,박효진,패션산업학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-11 05:03:56.873237,2026-02-11 05:03:56.873237
11588,,,True,Academic English,이은재,세무회계학과,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-23 03:32:50.272064,2026-02-23 03:32:50.272064,,
11590,,,True,Academic English,박효진,자유전공학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 14:26:01.168291,2026-02-03 14:26:01.168291
11614,,,True,AI시대의글쓰기이론과실제,이태희,독어독문학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 15:50:16.979330,2026-02-02 15:50:16.979330
11623,,,True,AI시대의글쓰기이론과실제,이은봉,미디어커뮤니케이션학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 06:14:28.661290,2026-02-03 06:14:28.661290
11628,,,True,AI시대의글쓰기이론과실제,김은경,행정학과,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-04 02:20:42.504000,2026-02-04 02:20:42.504000,,
11639,,,True,AI시대의글쓰기이론과실제,박주혜,법학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-21 16:38:24.141053,2026-02-21 16:38:24.141053
11643,,,True,AI시대의글쓰기이론과실제,김지영,동북아국제통상전공,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 10:08:18.347434,2026-02-03 10:08:18.347434
11645,,,True,AI시대의글쓰기이론과실제,박보연,동북아국제통상전공,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 11:55:49.633392,2026-02-02 11:55:49.633392
11646,,,True,AI시대의글쓰기이론과실제,장고은,경제학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-11 04:46:34.796276,2026-02-11 04:46:34.796276
11663,,,True,AI시대의글쓰기이론과실제,이승윤,소비자학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 12:52:06.905921,2026-02-03 12:52:06.905921
11664,,,True,AI시대의글쓰기이론과실제,최혜림,조형예술학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 05:12:42.814467,2026-02-04 05:12:42.814467
11667,,,True,AI시대의글쓰기이론과실제,이은봉,조형예술학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 09:24:42.476407,2026-02-02 09:24:42.476407
11676,,,True,AI시대의글쓰기이론과실제,양근용,스포츠과학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-06 02:10:48.617603,2026-02-06 02:10:48.617603
11677,,,True,AI시대의글쓰기이론과실제,양근용,운동건강학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 01:24:09.674933,2026-02-04 01:24:09.674933
11678,,,True,AI시대의글쓰기이론과실제,김미향,스포츠과학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 09:09:20.789067,2026-02-04 09:09:20.789067
11679,,,True,AI시대의글쓰기이론과실제,김미향,운동건강학부,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-03 11:00:19.663174,2026-02-03 11:00:19.663174,,
11682,,,True,AI시대의글쓰기이론과실제,양현진,스포츠과학부,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-04 12:28:43.012004,2026-02-04 12:28:43.012004
