schedule_id,subject_id,subject_name,professor,department,grade,subject_type,day_of_week,start_time,end_time,duration
11539,9303,동양의지혜와윤리,송승석,교양,,심교,화,2.5,5.5,3.0
11540,9304,동양의지혜와윤리,송승석,교양,,심교,수,2.5,5.5,3.0
11541,9305,디지털기반커뮤니케이션역량강화,김평원,교양,,심교,수,10.0,12.0,2.0
11542,9306,디지털미디어로보는무역과통상,고보민,교양,,심교,수,5.0,8.0,3.0
11543,9307,디지털세상의사이버윤리,김성우,교양,,심교,금,1.0,4.0,3.0
11544,9308,디지털세상의사이버윤리,김성우,교양,,심교,금,5.0,8.0,3.0
11545,9309,디지털시대의모바일앱만들기,박승진,교양,,심교,수,7.0,10.0,3.0
11546,9311,무대미술의이해,임일진,교양,,심교,목,2.5,5.5,3.0
11547,9312,문학의숲에서치유를만나다,전미정,교양,,심교,목,5.5,8.5,3.0
11548,9313,문학의숲에서치유를만나다,전미정,교양,,심교,목,2.0,5.0,3.0
11549,9314,문화로배우는생활프랑스어,이영석,교양,,심교,화,5.5,8.5,3.0
11550,9315,문화로배우는생활프랑스어,이영석,교양,,심교,목,5.5,8.5,3.0
11551,9316,문화사로읽는삼국지,이은봉,교양,,심교,수,2.0,5.0,3.0
11552,9317,문화예술로배우는생명의기원,예정용,교양,,심교,목,1.0,4.0,3.0
11553,9319,물류의이해,김우중,교양,,심교,금,5.5,8.5,3.0
11554,9320,물의위기와환경,이민수,교양,,심교,금,7.0,10.0,3.0
11555,9321,물의위기와환경,이민수,교양,,심교,금,3.0,6.0,3.0
11556,9322,미디어똑바로보기,안호림,교양,,심교,화,10.0,13.0,3.0
11557,9323,미래사회이해와미래예측,오형석,교양,,심교,수,6.0,9.0,3.0
11558,9324,미래사회이해와미래예측,오형석,교양,,심교,수,10.0,13.0,3.0
11559,9326,미술관여행,김상림,교양,,심교,화,5.0,8.0,3.0
11560,9327,배움특강,학생취업처,교양,,심교,수,8.0,10.0,2.0
11561,9328,북한의정치와문화,미배정,교양,,심교,금,1.0,4.0,3.0
11562,9329,북한의정치와문화,미배정,교양,,심교,금,5.0,8.0,3.0
11563,9330,비즈니스소프트웨어,박승진,교양,,심교,수,2.5,5.5,3.0
11564,9331,사고력향상법,박동명,교양,,심교,화,4.0,7.0,3.0
11565,9335,사회적기업론,양준호,교양,,심교,화,7.0,10.0,3.0
11566,9337,삶과천문학,김민수,교양,,심교,수,4.0,7.0,3.0
11567,9338,생활법률,이윤희,교양,,심교,목,7.0,10.0,3.0
11568,9339,생활법률,이윤희,교양,,심교,목,4.0,7.0,3.0
11569,9340,생활속의경제원리,오경희,교양,,심교,월,10.0,13.0,3.0
11570,9341,생활속의경제원리,오경희,교양,,심교,월,7.0,10.0,3.0
11571,9342,생활속의경제원리,이기환,교양,,심교,목,7.0,10.0,3.0
11572,9343,서양의지혜와철학,송대현,교양,,심교,월,10.0,13.0,3.0
11573,9344,서양의지혜와철학,송대현,교양,,심교,화,7.0,10.0,3.0
11574,9345,성격과인간심리의이해,서신화,교양,,심교,월,7.0,10.0,3.0
11575,9346,세계인식과인간의이해,이강원,교양,,심교,수,4.0,7.0,3.0
11576,9347,세포속양자물리학,박승룡,교양,,심교,수,2.0,4.0,2.0
11577,9348,소도구필라테스체형교정,양명주,교양,,심교,수,6.0,8.0,2.0
11578,9349,소도구필라테스체형교정,양명주,교양,,심교,수,8.0,10.0,2.0
11579,9350,소셜미디어시대의명상과수련,김윤경,교양,,심교,목,2.5,5.5,3.0
11580,9351,수학과AI로보는세상,이승재,교양,,심교,월,2.5,4.0,1.5
11581,9351,수학과AI로보는세상,이승재,교양,,심교,목,2.5,4.0,1.5
11582,9352,스크린속비즈니스영어,안수진,교양,,심교,화,10.0,12.0,2.0
11583,9353,스크린속의한국,장영은,교양,,심교,금,1.0,4.0,3.0
11584,9354,스타트업소셜벤처,창업지원단,교양,,심교,금,4.0,7.0,3.0
11585,9355,스토리텔링뮤직,김규,교양,,심교,목,1.0,4.0,3.0
11586,9356,스토리텔링뮤직,김규,교양,,심교,목,4.0,7.0,3.0
11587,9357,스포츠로이해하는개념,윤기준,교양,,심교,수,2.0,5.0,3.0
11588,9358,신비로운해양생물이야기,이재성,교양,,심교,화,2.0,5.0,3.0
11589,9360,실용음악이론과실습,최정윤,교양,,심교,금,2.0,5.0,3.0
11590,9361,실전토익700,차현지,교양,,심교,수,5.0,7.0,2.0
11591,9362,야구,강년주,교양,,심교,목,4.0,6.0,2.0
11592,9364,역사로만나는중국의문화코드,김지환,교양,,심교,화,4.0,7.0,3.0
11593,9365,역사의창으로현대사회읽기,이상의,교양,,심교,목,2.0,5.0,3.0
11594,9368,영미문학문화콘텐츠와디지털콘텐츠제작,황승현,교양,,심교,수,7.0,10.0,3.0
11595,9370,영상으로만나는중국,이정희,교양,,심교,수,1.0,4.0,3.0
11596,9371,영상으로만나는중국,이정희,교양,,심교,목,1.0,4.0,3.0
